id,category,question,answer,source
23,奖学金,体测不合格能评校级奖学金吗,体测成绩未达合格标准，直接取消当年所有奖学金参评资格,学生手册P45
24,奖学金,国家助学金发放时间,每年11月、次年3月分两批发放至学生校园卡账户,学生资助管理中心通知
25,宿舍报修,宿舍门锁损坏怎么报修,企业微信后勤小程序提交门锁维修工单，紧急锁闭可直接拨打宿管值班室电话,后勤管理规定
26,宿舍报修,宿舍停电该联系谁,先检查自家电闸，全屋停电联系后勤维修，整栋断电拨打物业应急电话,后勤管理规定
27,一卡通,校园卡注销流程,毕业离校前携带身份证、校园卡到卡务中心办理注销，退还卡内余额,校园卡管理办法
28,一卡通,校园卡能校外消费吗,仅校内食堂、超市、澡堂可用，校外商户不支持校园卡支付,校园卡管理办法
29,选课,预选课程可以修改吗,第16周预选阶段可无限次更换课程，预选结束后锁定名单,教务通知
30,选课,重修课程怎么选,每学期预选阶段单独开放重修选课通道，需先在教务处登记挂科记录,教务处规定
31,校园网络,校园WiFi设备连接上限,单个学号最多同时连接3台设备，超出上限会自动下线最早登录设备,信息中心通知
32,校园网络,校园网断网了怎么报修,登录信息中心报修系统提交工单，或前往实训楼2楼网络办公室现场处理,信息中心通知
33,图书馆,图书超期罚款标准,每本图书超期每日0.1元，累计罚款上限20元，缴清罚款才可继续借书,图书馆借阅规则
34,图书馆,图书馆可以自带笔记本充电吗,阅览区配备充电插座，禁止携带大功率插排，违者没收,图书馆公告
35,实训,实训缺勤怎么补训,单次缺勤需由实训老师安排周末补实训，累计缺课3次取消实训学分,实训管理条例
36,实训,实训耗材需要学生自费吗,基础实训耗材学校统一配发，损坏丢失需按成本价赔偿,实训管理条例
37,毕业,毕业补考未通过怎么办,未通过毕业补考可参加毕业后1个月的清考，清考仍不合格延期毕业,人才培养方案
38,毕业,毕业证遗失如何补办,携带身份证、一寸照片到教务处学籍科开具毕业证明，学校不补发原件,人才培养方案
39,军训,军训请假流程,伤病请假需校医院开具证明，辅导员+军训教官双重签字，累计请假超5天需补训,军训管理细则
40,军训,军训服装损坏可以更换吗,非人为破损凭破损衣物免费更换，人为撕裂需自行购买,后勤军训通知
41,社团,社团怎么申请成立,集齐20名在校学生发起人，提交社团章程至校团委，答辩通过完成注册,校团委管理办法
42,社团,社团活动加分标准,校级社团单次活动加0.2综测分，全年累计综测加分上限1分,综测评分细则
43,医保,大学生医保报销流程,校内就医直接结算，校外住院携带病历、缴费单到校医务室申报报销,校医院医保通知
44,医保,大学生医保缴费时间,每年9月统一缴纳下一年度医保费用，逾期无法补缴,校医院医保通知
45,食堂,食堂就餐时间,早餐6:30-8:30，午餐11:00-13:30，晚餐17:00-20:00,后勤食堂公告
46,食堂,食堂吃出异物怎么处理,保留餐品窗口拍照，联系食堂值班经理，可全额退款并更换餐食,后勤食堂规定
47,考务,期末考试缺考怎么办,无故缺考记挂科，需参加下学期重修考试；因病缺考可申请缓考,教务处考务通知
48,考务,缓考申请截止时间,考试前1天携带校医院证明、缓考申请表提交至教务处，开考后不予受理,教务处考务通知
49,综测,综测多久评定一次,每一学年9月评定上一学年综测成绩，综测分数作为奖学金评选依据,综测评分细则
50,综测,志愿时长怎么折算综测分,8小时志愿时长折算0.1综测分，全年志愿加分上限0.5分,校团委综测细则
51,请假,我发烧了应该怎么办？,发烧身体不适需办理病假，准备辅导员签字假条+校医院诊断证明，3天内提交教务处学生科，逾期缺勤按旷课处理,学生手册P23
52,请假,发烧没法上课怎么请假？,先到校医院开具诊断证明，填写纸质病假条由辅导员签字，3天内上交至教务处学生科完成审批,学生手册P23
53,请假,发烧超过3天没交病假材料会怎样？,发烧病假超过3天未提交材料，本次请假审批失效，缺勤记录会按旷课登记，影响日常考勤,学生手册P23
54, 学业, 课程内容难以理解或跟不上教学进度, 建议课前预习、课后复习，主动向老师或助教请教，也可加入学习小组互助，善用图书馆资源与在线课程平台补足短板。, 教务处学习建议
55, 学业, 缺乏明确学习目标导致动力不足, 建议制定短期与长期学习计划，参加职业规划讲座或咨询辅导员，通过设定小目标逐步建立成就感。, 学生发展指导中心
56, 学业, 选课系统操作复杂或选课失败, 选课前仔细阅读选课指南，遇到系统问题及时截图保存，联系教务处教务科处理，避免错过选课时间窗口。, 教务处选课通知
57, 学业, 作业/实验报告提交截止日期遗忘, 建议使用日历或任务管理APP记录截止日期，关注课程群通知，提前一天提交以防系统拥堵或突发状况。, 教务管理系统
58, 学业, 考试复习效率低或考前焦虑, 制定分阶段复习计划，利用番茄工作法提高专注力，进行适度运动缓解焦虑，必要时可预约学校心理咨询中心疏导。, 心理健康教育中心
59, 学业, 专业方向不明确，对未来规划迷茫, 主动与专业导师沟通，参与专业导论课程，利用学校职业测评工具，向学长学姐了解专业发展路径。, 就业指导中心
60, 学业, 语言类课程（如英语四六级）备考压力, 制定每日单词与真题计划，加入英语学习打卡群，参加学校组织的四六级模拟考试，利用图书馆听力资源。, 外国语学院
61, 学业, 科研项目或论文写作缺乏指导, 主动联系导师定期交流，参加科研基础技能培训，利用图书馆学术资源库，可向高年级研究生请教经验。, 科研处
62, 学业, 学分修读未达标影响毕业, 尽快对照培养方案核查已修学分，合理规划后续学期选课，及时与教务员沟通重修或补修事宜。, 教务处
63, 学业, 与导师沟通不畅，指导效果不佳, 提前整理好问题清单，以邮件或预约方式主动沟通，尊重导师时间安排，必要时向院系教学秘书反映情况。, 研究生院
64, 生活, 宿舍生活习惯差异（作息、卫生等）, 建议制定宿舍公约，明确熄灯时间与值日安排，多换位思考，出现矛盾及时沟通或请辅导员协调。, 学生公寓管理中心
65, 生活, 饮食不适应（食堂口味、清真窗口等）, 可尝试不同食堂窗口，向后勤反馈口味需求，清真窗口及特殊饮食需求可提前与食堂经理沟通。, 后勤管理处
66, 生活, 生活技能欠缺（洗衣、收纳等）, 可观看生活类短视频学习基础技能，向室友或学长请教，学校后勤有时会举办生活技能培训活动。, 后勤管理处
67, 生活, 校园环境不熟悉（教学楼/图书馆位置）, 下载校园地图APP或使用校内导航小程序，参加新生入学参观活动，校园内指示牌也可参考。, 迎新手册
68, 生活, 天气变化导致的健康问题（如冬季保暖）, 关注天气预报及时增减衣物，冬季备好保暖用品，出现身体不适立即前往校医院就诊。, 校医院
69, 生活, 个人财务规划不合理（生活费超支）, 建议使用记账APP记录收支，制定每月预算，理性消费，必要时可寻求学校资助中心的经济援助指导。, 学生资助中心
70, 生活, 远离家乡的孤独感与思乡情绪, 多参加社团活动结交新朋友，定期与家人视频通话，保持充实的生活节奏，必要时可预约心理咨询。, 心理健康教育中心
71, 生活, 校园卡使用问题（挂失、充值等）, 校园卡丢失立即通过校园卡系统挂失，充值可使用支付宝或校内充值点，补办需携带身份证到卡务中心。, 卡务中心
72, 生活, 医疗服务流程不熟悉（挂号、报销）, 校内就医携带校园卡挂号就诊，校外住院需保留病历和缴费凭证，回校后到校医务室按规定报销。, 校医院医保通知
73, 生活, 快递/外卖取件流程不清晰, 快递通常集中在校内驿站凭取件码领取，外卖需到指定外卖柜或校门口取件，具体留意短信通知。, 后勤管理处
74, 人际, 宿舍矛盾（物品借用、空间分配）, 建议制定宿舍公约明确规则，借用物品前先征得同意，遇到矛盾冷静沟通，可请宿舍长或辅导员介入调解。, 学生公寓管理中心
75, 人际, 与同学沟通障碍（方言、性格差异）, 保持开放包容心态，多使用普通话交流，通过共同兴趣活动建立联系，尊重彼此的差异。, 学生工作处
76, 人际, 交友困难或社交焦虑, 从兴趣社团或小组活动入手，逐步扩大社交圈，学习社交技巧，必要时可参加社交能力提升团体辅导。, 心理健康教育中心
77, 人际, 与老师/辅导员沟通技巧不足, 提前准备沟通要点，用礼貌得体的语言表达诉求，注意时间场合，必要时以邮件方式书面沟通。, 学生发展指导中心
78, 人际, 社团活动中的团队协作冲突, 明确分工与责任，定期开会沟通进度，以解决问题为导向，遇到严重冲突可向社团指导老师求助。, 校团委
79, 人际, 恋爱关系处理不当（如学业平衡）, 保持理性沟通，共同规划学习与相处时间，若出现心理困扰可寻求心理咨询，避免影响学业。, 心理健康教育中心
80, 人际, 家庭期望与个人选择的冲突, 主动与家人坦诚沟通自身想法与规划，可邀请辅导员或信任的老师参与沟通，争取理解与支持。, 学生工作处
81, 人际, 文化差异导致的误解（如城乡背景）, 尊重不同文化背景的同学，主动了解彼此的生活习惯，以善意和包容化解可能的误会。, 学生工作处
82, 人际, 人际信任问题（隐私泄露担忧）, 注意保护个人隐私信息，不随意透露账号密码，涉及隐私的问题可委婉拒绝或转移话题。, 保卫处
83, 人际, 网络社交与现实社交的矛盾, 合理分配线上与线下社交时间，积极参与线下活动，保持现实人际交往的平衡。, 心理健康教育中心
84, 安全, 消防安全意识不足（违规电器使用）, 严禁使用大功率违规电器，不在宿舍私拉电线，熟悉消防通道位置，掌握灭火器使用方法。, 保卫处
85, 安全, 交通安全风险（校园内滑倒、骑行事故）, 雨天注意防滑慢行，骑车佩戴头盔，不超速载人，夜间行走注意照明，遵守校园交通规则。, 保卫处
86, 安全, 防诈骗意识薄弱（兼职、助学贷陷阱）, 警惕“高薪兼职”“先交费”等骗局，不轻信陌生链接，涉及金钱交易多方核实，遇到可疑情况立即报警。, 保卫处
87, 安全, 食品安全问题（外卖卫生、过敏源）, 选择有资质的商家订餐，留意食品过敏源信息，若出现食物中毒症状及时就医并保留证据反馈。, 后勤管理处
88, 安全, 心理健康问题（焦虑、抑郁情绪）, 及时向朋友、家人或辅导员倾诉，预约学校心理咨询中心进行专业评估与疏导，必要时转介精神科。, 心理健康教育中心
89, 安全, 突发疾病应对（急救知识缺乏）, 学习基础急救知识，校医院设有24小时值班电话，遇到紧急情况立即拨打120并联系辅导员。, 校医院
90, 安全, 校园欺凌或言语暴力, 保留证据并立即向辅导员或保卫处报告，学校将对欺凌行为严肃处理，受害者可获得心理支持。, 保卫处
91, 安全, 网络安全风险（账号被盗、信息泄露）, 设置复杂密码并定期更换，不连接陌生WiFi，谨慎授权个人信息，发现异常立即冻结账号并联系信息中心。, 信息中心
92, 安全, 实验室安全操作失误, 严格遵守实验室安全规程，实验前接受安全培训，遇突发事故按应急预案处理并及时报告指导老师。, 实验管理中心
93, 安全, 校外活动安全（实习、兼职风险）, 签订实习协议前仔细阅读条款，核实用人单位资质，注意人身财产安全，定期向辅导员报备情况。, 就业指导中心
94, 资源, 图书馆资源使用不熟练, 参加图书馆新生入馆教育，使用检索机或数据库查找书籍，遇到问题咨询图书馆工作人员。, 图书馆
95, 资源, 校内奖学金/助学金申请流程不清, 关注学工处官网通知，按照要求准备材料，在规定时间内提交申请，可咨询辅导员或学生资助中心。, 学生资助中心
96, 资源, 校外实习机会获取渠道有限, 关注学校就业信息网、招聘会，利用校友资源，主动联系企业HR，完善个人简历积极投递。, 就业指导中心
97, 资源, 校园活动信息获取不及时, 关注学校官方公众号、校园公告栏及学院通知群，定期查看第二课堂系统，及时报名参与。, 校团委
98, 资源, 职业规划与就业指导资源利用不足, 预约就业指导中心的一对一咨询，参加职业规划课程和讲座，利用职业测评工具明确方向。, 就业指导中心
99, 资源, 校内体育设施使用规则不了解, 通过体育部官网或场馆公告了解开放时间和预约方式，遵守场地使用规定，爱护公共设施。, 体育部
100, 资源, 校友网络资源未有效利用, 参加校友交流活动，通过校友会平台联系学长学姐，获取行业信息与职业发展建议。, 校友会
101, 资源, 校内讲座/学术活动参与度低, 关注各学院官网及学术公告，根据兴趣选择讲座参与，提前报名签到，可计入第二课堂学分。, 教务处
102, 资源, 校园周边生活服务信息缺失, 可向学长学姐咨询周边推荐店铺，关注校园生活类公众号，利用地图APP搜索周边生活服务。, 学生会生活部
103, 资源, 校内创业支持政策不了解, 咨询创业学院或就业指导中心，了解孵化园入驻条件和创业基金申请流程，参加创业大赛积累经验。, 创业学院
104, 其他, 课程表与个人时间冲突, 及时核对课程安排，发现冲突立即联系教务员调整，合理规划课内外时间，避免过度疲劳。, 教务处
105, 其他, 校内公共设施故障（如饮水机损坏）, 通过后勤报修系统提交维修申请，注明位置和故障情况，急用时可向楼栋管理员反映。, 后勤管理处
106, 其他, 校内快递点服务效率低, 尽量错峰取件，使用智能快递柜自助服务，遇到丢件问题及时联系快递客服并报备驿站管理员。, 后勤管理处
107, 其他, 校内食堂高峰期排队时间长, 错峰用餐避开下课高峰，使用食堂预约点餐服务，或选择人流较少的食堂窗口。, 后勤管理处
108, 心理, 适应期焦虑（新生常见）, 积极参与新生适应活动，主动与同学交流，遇到困扰及时求助辅导员或心理咨询中心。, 心理健康教育中心
109, 心理, 自我认同困惑（专业、能力怀疑）, 客观评估自身优势与不足，通过完成小目标积累自信，可参加自我探索团体辅导。, 心理健康教育中心
110, 心理, 未来规划压力（考研/就业抉择）, 收集信息权衡利弊，向老师、家人、学长请教，尽早明确方向并制定备选计划。, 就业指导中心
111, 技术, 校内网络连接不稳定, 切换校园WiFi频段，检查设备网络设置，联系信息中心反馈具体位置进行网络优化。, 信息中心
112, 技术, 电子设备故障（电脑、手机）, 可前往校内信息技术服务中心维修，重要数据定期备份，避免使用不明来源软件。, 信息中心
113, 技术, 校内软件系统使用问题（如选课系统）, 清除浏览器缓存或更换浏览器重试，遇到系统报错及时截图联系系统管理员。, 信息中心
114,体育,学校运动场开放时间,室外操场全天开放；室内篮球场、羽毛球场8:00-21:00，需企业微信提前预约场地,体育部场地管理规定
115,体育,体育器材可以外借吗,凭一卡通到体育器材室登记借用，当日晚20:30前归还，丢失需原价赔偿,体育部器材管理细则
116,体育,体测免测申请流程,持三甲医院疾病诊断证明，填写免测申请表交体育部审核，免测按及格分60分记录,体育教学管理办法
117,澡堂,校园澡堂开放时段,男生澡堂16:00-22:00；女生澡堂15:30-22:00，节假日延长半小时,后勤澡堂运营通知
118,澡堂,澡堂热水扣费标准,按流量计费，0.06元/升，单次洗澡平均花费1.5-3元，刷校园卡扣费,后勤收费公示
119,澡堂,澡堂停水维修通知在哪看,企业微信后勤板块、宿舍楼下公告栏会提前1天推送停水通知,后勤管理处
120,班车,校园班车发车时刻表,工作日7:00-22:00每15分钟一班；周末8:00-21:00每30分钟一班，全程免费乘坐,后勤班车2026时刻表
121,班车,校外接驳大巴怎么预约,节假日往返市区接驳车需提前3天在企业微信预约，满30人发车,后勤通勤通知
122,保卫,宿舍丢东西怎么报案,第一时间前往校门保卫处登记备案，提供丢失物品、时间、宿舍信息，保卫调取监控排查,保卫处治安条例
123,保卫,外来人员进校规定,校外访客需携带身份证，在校门保安室登记，由校内学生出来接应方可入校,校园门禁安全管理规定
124,保卫,校园夜间巡逻时间段,每日23:00至次日6:00安保分3组全校园巡逻，遇到危险可拨打保卫24小时值班电话,保卫处值班须知
125,第二课堂,第二课堂学分需要修多少,专科毕业需累计8个第二课堂学分，未修满无法正常领取毕业证,校团委第二课堂管理办法
126,第二课堂,哪些活动能获取二课学分,志愿活动、学科竞赛、文体晚会、讲座、社团任职、创新创业项目均可累计学分,二课学分认定标准
127,第二课堂,二课学分漏录了怎么补,活动结束15天内携带活动证明、签到截图到校团委学生部申请补录，超期不予受理,校团委通知
128,四六级,英语四六级报名时间,每年3月报名6月考试，9月报名12月考试，统一在教务系统线上缴费报名,外国语学院考务通知
129,四六级,四六级缺考会有什么处罚,无故缺考取消下一次报考资格，因病缺考持校医院证明可解除限制,教务处四六级报考规定
130,四六级,四六级准考证丢失如何查成绩,登录教育考试院官网，输入身份证号可查询准考证号与分数,外国语学院通知
131,考证,普通话考试校内报名渠道,每年4月、10月教务处统一组织报名，报名费25元，校内设置标准化考场,教务处考证通知
132,考证,计算机一级证书用处,毕业硬性要求证书之一，未取得计算机一级无法完成毕业审核,人才培养方案P22
133,考证,教师资格证在校可以报考吗,大三及以上在校生凭在校证明即可报考，教务处每学期统一开具在读证明,就业指导中心
134,勤工助学,校内勤工助学岗位怎么申请,每年9月学工处发布岗位，线上提交申请表，院系筛选后面试上岗,学生资助管理中心勤工助学条例
135,勤工助学,勤工助学薪资标准,校内岗位18元/小时，每月工时上限40小时，薪资次月15号发放至校园卡,学生资助收费文件
136,勤工助学,勤工助学和奖学金冲突吗,两者不冲突，勤工薪资不计入评奖收入限制，可同时申领助学金,学生资助管理办法
137,失物招领,校园失物招领处在哪里,行政楼一楼保卫处旁，丢失物品、捡到物品均可登记，公众号每日推送失物清单,保卫处失物管理规定
138,失物招领,校园卡丢在教室怎么找回,先挂失校园卡，前往对应教学楼值班室查看，无人认领则登记至失物招领处,卡务中心须知
139,水电,宿舍水费收费标准,冷水3.2元/吨，热水25元/吨，两月统一核算一次，企业微信线上缴费,后勤水电收费标准
140,水电,宿舍断电是欠费还是跳闸,先检查宿舍空气开关，开关无异常则是水电欠费，缴费后30分钟内恢复供电,后勤维修规范
141,水电,宿舍可以自己加装电表吗,严禁私装水电计量设备，私自改装电路会按违纪处分并没收设备,宿舍安全管理条例
142,停车,校园私家车可以入校吗,教职工车辆凭通行证入校，学生私家车禁止驶入校园，外来车辆临时入校需登记且限时2小时,校园交通管理规定
143,停车,校园电动车停放区域,宿舍楼下划定专属车棚，教学楼禁止停放电动车，禁止楼道内充电,保卫处电动车管理通知
144,体检,新生入学体检必须参加吗,全体新生强制体检，未参加体检无法完成学籍注册，体检在校医院统一开展,校医院体检通知
145,体检,每年常规体检安排在什么时候,每年10月统一组织在校生体检，体检费用由医保统一承担，无需自费,学生医保手册
146,疫苗,校内可以接种HPV/流感疫苗吗,校医院每年11月开设流感疫苗接种点，HPV疫苗需自行预约校外社区医院,校医院防疫通知
147,讲座,学术讲座计入二课学分吗,校级官方学术讲座每场0.1二课学分，线上讲座不计入有效学分,校团委二课认定规则
148,讲座,讲座迟到还能签到录学分吗,讲座开始15分钟后关闭签到通道，迟到无法录入本次二课学分,教务处学术活动规范
149,档案,学生个人档案包含哪些材料,高考报名表、体检表、奖惩材料、成绩单、实习鉴定表、毕业登记表,学籍档案管理办法
150,档案,毕业后档案可以存放在学校吗,学校仅保管档案2年，超过两年统一打回户籍地人才交流中心,就业指导中心档案须知
151,缓考,缓考成绩什么时候公布,缓考统一安排在下学期开学第一周考试，考后3个工作日教务系统更新成绩,教务处考务细则
152,重修,重修课程可以刷分提升绩点吗,重修最高成绩覆盖原始挂科分数，计入最终学年绩点，用于奖学金评选,学籍管理办法P20
153,门禁,周五周六宿舍延长到几点关门,周日至周四23:00门禁锁门，周五、周六23:30，凌晨返校需宿管登记晚归,学生公寓管理条例P9
154,门禁,晚归多次登记会有处分吗,单月晚归登记超过3次，辅导员约谈并扣除当月综测0.2分,公寓综测扣分标准
155,外卖,外卖可以送到宿舍楼下吗,外卖统一放置校门口智能外卖柜，禁止外卖骑手进入宿舍教学区域,后勤校园管控通知
156,外卖,外卖超时丢失谁负责,超时未取餐丢失联系商家与骑手协商，校园驿站不承担外卖保管责任,后勤商铺管理规定
157,打印店,校内打印店分布位置,行政楼大厅、图书馆一楼、二宿舍楼下各一家打印店，支持黑白彩印、装订、证件照,校园商铺公示
158,打印店,批量打印论文有优惠吗,毕业论文批量打印满50页享8折优惠，免费简易胶装,打印店收费公告2026
159,竞赛,学科竞赛获奖怎么申请综测加分,携带获奖证书复印件到校团委登记，国家级奖项加1分，省级0.6分，校级0.3分,综测评分细则P10
160,竞赛,没有组队怎么参加学科竞赛,校团委每年赛前开放自由组队群，也可咨询专业课老师推荐队友,校团委竞赛管理办法
161,征兵,在校生参军保留学籍吗,入伍学生可办理学籍保留，退役返校后免修军事理论与军训，学费全额补偿,武装部征兵政策
162,征兵,参军退役后考研有加分吗,专科退役士兵专升本考试总分加10分，考研初试总分加10分,武装部政策通知2026
163,心理,心理咨询预约渠道,企业微信心理健康板块线上预约，也可直接前往综合楼302心理中心现场预约,心理健康中心须知
164,心理,心理咨询会泄露我的谈话内容吗,全程严格保密，仅出现自伤、伤人风险时才会联系辅导员与家长,心理咨询伦理规范
165,绿植,宿舍可以养盆栽绿植吗,允许小型无刺盆栽，禁止种植藤蔓、带刺、有毒植物，不得占用消防通道,后勤宿舍管理通知
166,急诊,夜间突发疾病校医院有人值班吗,校医院日间门诊下班之后，可拨打24小时急诊电话，重症直接送往合作三甲医院,校医院急诊预案
167,学籍,休学办理流程是什么,携带三甲医院证明/家庭困难证明，填写休学申请表，院系、教务处逐级签字审批,学籍管理办法P26
168,学籍,休学期限最长多久,单次休学最长1年，累计休学不得超过2年，到期需按时复学,学籍管理办法P27
169,复学,休学期满如何申请返校,休学期满前15天提交复学申请表与康复证明，教务处复核后恢复学籍,学籍管理办法
170,文具,校内哪里能买到文具,二宿舍超市、图书馆一楼打印店均售卖笔、笔记本、文件夹等文具,后勤商铺公告
171,调课,老师临时调课在哪里查看通知,学院班级群、教务系统课表会同步更新调课信息，也可咨询学习委员,教务处调课通知规则
172,调课,个人可以申请调换上课班级吗,同专业平行班开学3日内可提交调班申请，超过时间不予审批,教务处学籍调整规定
173,音响,教室多媒体音响坏了找谁维修,联系本班学委提交电教维修工单，电教中心24小时内上门检修,教务处设备管理规范
174,雨伞,校内有共享雨伞租借吗,图书馆、教学楼大厅设有共享雨伞架，凭校园卡登记借用，3日内归还,后勤便民服务通知
176,校医院,校医院可以开退烧药吗,在校内出现发热症状先到校医院预检分诊，符合指征可开具退烧药物，仅限在校患病学生，药品医保可报销80%,校医院药品管理规范
177,校医院,校医院可以开具校外就医转诊单吗,病情超出校医院诊疗范围，医生评估后可开具转诊证明，持单据可办理校外医保报销,学生医保报销细则
178,校医院,校医院的药品收费标准是什么,校内基础常用药品均价低于市面价格，医保报销后个人仅承担20%费用，急诊急救药品全额校内补贴,校医院收费公示
179,快递站,快递驿站丢失包裹怎么理赔,提供取件码、快递单号、物品截图，驿站核实丢失后联系快递公司原价赔付，贵重物品需保价凭证,校园快递驿站管理规定
180,快递站,大件行李快递怎么存放,超过60cm大件包裹无法存入智能柜，统一放置驿站人工货架，存放时长同样为48小时免费期,后勤快递运营通知
181,快递站,生鲜快递存放有冷藏区吗,驿站配备小型冷藏货架存放生鲜快递，生鲜存放限时24小时，超时易变质不予保管,后勤快递管理须知
182,ATM机,校园ATM转账会收取手续费吗,本行银行卡存取、转账无手续费，跨行转账单笔收取2元手续费,银行校园网点公示2026
183,ATM机,ATM吞卡了怎么取回卡片,携带本人身份证前往行政楼卡务旁银行网点，工作日工作时间可现场领回被吞银行卡,建行工行校园网点通知
184,ATM机,ATM机夜间故障无人处理怎么办,机器旁张贴银行24小时客服热线，拨打热线报备故障，次日工作人员到校维修,校园金融设施管理规范
185,校园超市,超市可以使用现金支付吗,支持现金、校园一卡通、微信支付宝三种支付方式，小额现金可在收银台兑换零钱,后勤商铺运营规定
186,校园超市,超市可以退换未拆封商品吗,食品类商品离柜不予退换；日用品未拆封、购买不超过24小时凭小票可退换,校园超市售后规则
187,校园超市,超市有生活用品送货上门服务吗,单次消费满50元，生活区3栋以内可提供免费送货到宿舍楼下服务,校园超市便民通知
188,宿舍生活,宿舍空调使用费是单独收费吗,宿舍空调电费统一计入宿舍公摊水电，无额外空调服务费，不单独收取租赁费,后勤水电收费标准
189,宿舍生活,宿舍阳台可以晾晒被褥吗,允许阳台晾晒衣物被褥，禁止悬挂重物、大件物品超出阳台护栏，避免高空坠物,学生公寓安全条例
190,学习,课堂上可以使用笔记本电脑吗,理论课允许电脑记笔记，严禁上课刷视频、打游戏，任课老师有权制止违规使用电子设备,课堂行为规范
191,学习,实训课程缺课可以线上看回放补吗,实训实操课程无线上回放，缺课必须预约老师安排线下补做实训操作,实训教学管理办法
192,校园出行,校园共享单车怎么租借,校内定点停车区投放共享单车，一卡通扫码骑行，1元/30分钟，禁骑出校园围墙,后勤便民出行通知
193,校园出行,雨天校内有共享雨披租借吗,教学楼、图书馆大厅提供一次性雨披，免费取用，用完放置回收箱即可,后勤便民服务细则
194,医保,医保断缴后还能享受报销吗,当年未按时缴纳医保费用，全年无法享受校内、校外医疗报销待遇,医保局校园通知
195,医保,牙科治疗费用可以走学生医保报销吗,基础补牙、检查可报销，洗牙、正畸、美容类牙科项目不在医保报销范围内,学生医保目录
196,社团,社团经费申请流程是什么,社团举办活动前提交经费预算表、活动策划书至校团委，审核通过后拨付活动经费,校团委经费管理办法
197,社团,社团换届需要走哪些流程,换届前提交换届方案，组织公开竞选，竞选结果公示3个工作日无异议完成换届备案,社团管理细则
198,保卫处,校园电动车充电收费标准,车棚智能充电桩1元可充电4小时，充满自动断电，禁止私拉电线充电,保卫处电动车管理规定
199,保卫处,身份证丢失可以在校内补办临时身份证明吗,无法办理正式临时身份证，保卫处可开具在校居住证明，用于校外办事,保卫处便民须知
200,第二课堂,线上网课类活动能录入二课学分吗,仅学校官方组织的线上学术讲座、志愿活动有效，第三方短视频网课不计入学分,二课学分认定标准
201,第二课堂,二课学分超出毕业要求会有奖励吗,二课总分超出12学分，毕业可申领校级第二课堂优秀结业证书,校团委表彰通知
202,考证,英语A级证书不考影响毕业吗,专科院校硬性要求取得英语A级方可顺利毕业，未通过需多次补考,人才培养方案P23
203,考证,各类证书报名费可以走勤工助学补贴抵扣吗,证书报名费无专项补贴，需学生自行线上缴费,教务处考证收费通知
204,勤工助学,勤工助学岗位上课时间可以离岗吗,岗位排班避开课程表，上课时段禁止在岗，私自离岗会扣除当日工时薪资,勤工助学管理条例
205,失物招领,捡到贵重物品不上交会怎么处理,捡到手机、电脑、现金等贵重物品拒不移交失物招领，一经查实给予校级通报批评处分,校园治安管理规定
206,澡堂,澡堂储物柜需要收费吗,储物柜免费使用，离场必须带走个人物品，过夜遗留物品统一清理,后勤澡堂运营细则
